t,el1,el2
0,-3.3517523,-2.9583704
1,-3.4416935,-3.028323
2,-3.424807,-3.034661
3,-3.0364275,-2.784581
4,-2.2727854,-2.117604
5,-1.6894599,-1.5279438
6,-1.2416307,-1.0967304
7,-0.82662445,-0.74915826
8,-0.44737154,-0.37469327
9,-0.12719229,-0.06918037
10,0.13466103,0.17990036
11,0.26350445,0.2944791
12,0.3488831,0.3625103
13,0.37930903,0.37161407
14,0.36503306,0.34581158
15,0.3044904,0.31021136
16,0.2540317,0.2583942
17,0.17823824,0.18765081
18,0.07324934,0.1057591
19,-0.04784203,0.009169154
20,-0.17484257,-0.079893455
21,-0.29958564,-0.20499624
22,-0.44399118,-0.31522226
23,-0.6120273,-0.45464602
24,-0.794916,-0.6103797
25,-0.9887593,-0.79146993
26,-1.1943625,-0.96668446
27,-1.4204196,-1.1407773
28,-1.6268444,-1.3371415
29,-1.8312312,-1.5193664
30,-2.0255566,-1.6975203
31,-2.2045395,-1.8613089
32,-2.341477,-1.989751
33,-2.4269004,-2.072488
34,-2.442268,-2.0841026
35,-2.2635145,-1.8866087
36,-1.6276497,-1.282565
37,-0.9253105,-0.682051
38,-0.43906993,-0.2586562
39,-0.015415235,0.121425726
40,0.3582978,0.47329608
41,0.6982525,0.79058474
42,0.9805176,1.0301164
43,1.1824721,1.129474
44,1.2630652,1.1625997
45,1.2818912,1.1267049
46,1.2572987,1.0749824
47,1.1938251,0.99458575
48,1.1022489,0.9177973
49,1.0011744,0.812428
50,0.8826508,0.7291328
51,0.75929,0.62138075
52,0.61427355,0.5150768
53,0.48290515,0.3891998
54,0.31598234,0.25916505
55,0.13911843,0.103971496
56,-0.043776613,-0.047477018
57,-0.25034142,-0.22553957
58,-0.46040457,-0.39556935
59,-0.68197006,-0.565998
60,-0.9122517,-0.7525935
61,-1.1398598,-0.9436302
62,-1.3577822,-1.1313959
63,-1.5773726,-1.3177392
64,-1.7638841,-1.4710504
65,-1.9408952,-1.6230427
66,-2.041736,-1.734486
67,-2.0798686,-1.7821125
68,-1.9734792,-1.7340194
69,-1.4559531,-1.4165515
70,-0.6979553,-0.78144455
71,-0.19302781,-0.24942206
72,0.21404195,0.15249768
73,0.566756,0.5204329
74,0.8878413,0.83850235
75,1.1790621,1.107562
76,1.4175515,1.2840252
77,1.5389845,1.3331665
78,1.568859,1.3318856
79,1.5540538,1.2735962
80,1.5033407,1.2052232
81,1.4163697,1.1097442
82,1.3140826,1.0131046
83,1.1744958,0.90424746
84,1.0440515,0.7975785
85,0.91469884,0.6798179
86,0.7602208,0.5472568
87,0.5896821,0.42049104
88,0.41416657,0.2727021
89,0.1952437,0.12598881
90,0.009385866,-0.03879261
91,-0.21544322,-0.21825743
92,-0.4294917,-0.38918066
93,-0.6591499,-0.5681265
94,-0.8877606,-0.74446136
95,-1.1666913,-0.9265747
96,-1.3312238,-1.1101867
97,-1.5329211,-1.2781487
98,-1.7017024,-1.437093
99,-1.8326833,-1.569448
100,-1.9055171,-1.6755313
101,-1.8512204,-1.7030047
102,-1.5081068,-1.6204749
103,-0.67821413,-1.2713784
104,-0.07195548,-0.6190073
105,0.34869605,-0.09092895
106,0.7086389,0.3292901
107,1.0529559,0.691158
108,1.3469007,1.016118
109,1.6276006,1.278388
110,1.7951459,1.4202574
111,1.8716865,1.4709011
112,1.8570684,1.4453654
113,1.8078995,1.3780614
114,1.7064222,1.2961619
115,1.5852119,1.1997206
116,1.431428,1.0745261
117,1.3234329,0.9694052
118,1.1699741,0.84335977
119,1.0027426,0.7023446
120,0.83533484,0.5733925
121,0.6506159,0.4422421
122,0.45492008,0.29094842
123,0.24009287,0.13023104
124,0.0147068,-0.027468862
125,-0.24643458,-0.20281878
126,-0.46847296,-0.38671657
127,-0.71702456,-0.5640135
128,-0.9531416,-0.74457544
129,-1.1940877,-0.9249026
130,-1.4230177,-1.0971066
131,-1.5883843,-1.2708977
132,-1.7276077,-1.4098588
133,-1.8234814,-1.5319211
134,-1.7844335,-1.6198794
135,-1.4787618,-1.647853
136,-0.6874717,-1.5049454
137,-0.04336803,-1.1066183
138,0.36940166,-0.4861063
139,0.73093444,0.043957546
140,1.0613265,0.4547193
141,1.3625637,0.81910646
142,1.6202748,1.1262378
143,1.7974896,1.3726337
144,1.873899,1.4929514
145,1.8608319,1.5181971
146,1.7981052,1.4822805
147,1.7076286,1.4004886
148,1.5853848,1.3054298
149,1.4492847,1.2033353
150,1.3107654,1.0745239
151,1.1487136,0.9374837
152,0.9829687,0.8177281
153,0.79436773,0.68559676
154,0.6137955,0.53793293
155,0.41017175,0.4057064
156,0.20006216,0.22681524
157,-0.02965081,0.087639615
158,-0.26589638,-0.079394355
159,-0.50958,-0.25856766
160,-0.7578933,-0.42517772
161,-1.0073812,-0.6094472
162,-1.2521034,-0.78680754
163,-1.4637314,-0.9632089
164,-1.6676608,-1.1347227
165,-1.8352219,-1.3107283
166,-1.9343054,-1.4548782
167,-1.9213197,-1.5675548
168,-1.6641756,-1.6475999
169,-0.8989588,-1.6453817
170,-0.20643468,-1.491236
171,0.22062242,-1.0496948
172,0.5728535,-0.4413691
173,0.9023154,0.07846048
174,1.208767,0.47109705
175,1.4781029,0.8314594
176,1.6797613,1.1357234
177,1.7717984,1.3548286
178,1.780793,1.4504144
179,1.720593,1.4760634
180,1.6225021,1.4207715
181,1.5142056,1.2730075
182,1.3544432,1.2385966
183,1.230598,1.1372733
184,1.0895404,1.0047041
185,0.9303265,0.8722718
186,0.7524658,0.74772096
187,0.5660635,0.6067725
188,0.37076318,0.4687664
189,0.151549,0.3241239
190,-0.07337448,0.17022927
