t,el1,el2
0,-0.77498645,-2.3440444
1,-0.9807957,-2.2276952
2,-1.2565691,-2.0876553
3,-1.562274,-1.8502189
4,-1.8820385,-1.5723397
5,-2.1802444,-1.241162
6,-2.487952,-0.7702643
7,-2.7587125,-0.19025916
8,-2.9785569,0.47578847
9,-3.102775,1.1143432
10,-3.0608668,1.6807754
11,-2.491852,2.1495686
12,-1.6783012,2.4487677
13,-1.2025919,2.5424266
14,-0.8272745,2.5522814
15,-0.486639,2.4793966
16,-0.15996899,2.3925383
17,0.12319207,2.2658296
18,0.32338056,2.1443899
19,0.40981752,2.0089962
20,0.4371844,1.8703488
21,0.40020466,1.7273264
22,0.33070698,1.56935
23,0.23707317,1.4074395
24,0.13956021,1.2405348
25,0.012770152,1.0594115
26,-0.08995866,0.88817817
27,-0.22123152,0.7075199
28,-0.37740728,0.50665206
29,-0.55296665,0.30491343
30,-0.7074835,0.11709583
31,-0.90841556,-0.07861981
32,-1.1219203,-0.2714285
33,-1.3580551,-0.47236076
34,-1.6051967,-0.6769735
35,-1.8542529,-0.8661482
36,-2.0987296,-1.0631504
37,-2.348133,-1.2471174
38,-2.574904,-1.4095697
39,-2.7733035,-1.5728135
40,-2.9109876,-1.7201104
41,-2.943111,-1.8653446
42,-2.7448308,-1.9549669
43,-1.9399321,-2.0080633
44,-1.187659,-2.0029042
45,-0.71571827,-1.9356626
46,-0.3149355,-1.8241159
47,0.049735975,-1.6455009
48,0.39072496,-1.4299575
49,0.67587584,-1.1802233
50,0.8848066,-0.93353957
51,1.0033524,-0.6976511
52,1.0080043,-0.5044282
53,0.95385104,-0.3282659
54,0.8639238,-0.20806555
55,0.76560473,-0.10973988
56,0.6490743,-0.04336174
57,0.52376264,0.020996172
58,0.38859105,0.092494875
59,0.24254489,0.12985651
60,0.08343717,0.18880792
61,-0.10161695,0.2407028
62,-0.31284675,0.28548273
63,-0.5457604,0.33660898
64,-0.7733659,0.39656097
65,-1.0277872,0.46813872
66,-1.293018,0.53394175
67,-1.5804771,0.6092101
68,-1.8474545,0.6507063
69,-2.1127725,0.78359693
70,-2.3835382,0.87343067
71,-2.561656,0.9546879
72,-2.6864846,1.0447181
73,-2.733209,1.1320322
74,-2.4854376,1.2207716
75,-1.7105749,1.3008829
76,-0.98180085,1.348806
77,-0.5180353,1.390544
78,-0.11168466,1.3977159
79,0.25367782,1.3803492
80,0.58551556,1.3384688
81,0.84617764,1.2820827
82,0.99252063,1.2198846
83,1.031433,1.1062908
84,1.0060766,1.0252266
85,0.9419329,0.9001099
86,0.839995,0.7811653
87,0.7184748,0.6488741
88,0.59803796,0.5001628
89,0.43012396,0.34923154
90,0.31021488,0.20702668
91,0.16604242,0.06134827
92,-0.008249194,-0.08497679
93,-0.17711625,-0.23608245
94,-0.37453905,-0.39117673
95,-0.58363837,-0.5392437
96,-0.80460805,-0.6742959
97,-1.0418938,-0.8056328
98,-1.2787012,-0.9300039
99,-1.5335118,-1.0370233
100,-1.7776283,-1.1575997
101,-2.0124633,-1.1955407
102,-2.224915,-1.2326168
103,-2.4024682,-1.2774608
104,-2.5161407,-1.2697442
105,-2.5322275,-1.2368062
106,-2.4050298,-1.1992064
107,-1.8018894,-1.1568955
108,-0.9360737,-1.0897782
109,-0.34434426,-1.0289918
110,0.08705209,-0.98434126
111,0.45794824,-0.9470872
112,0.8351632,-0.9211582
113,1.1208452,-0.8924512
114,1.3120737,-0.88838154
115,1.3752522,-0.8730056
116,1.3434896,-0.86463237
117,1.2653042,-0.8716812
118,1.1915386,-0.89392436
119,1.070969,-0.9124702
120,0.92765874,-0.94723225
121,0.7921391,-0.96070385
122,0.63947845,-0.98531145
123,0.4802434,-1.0062047
124,0.30970943,-1.0191231
125,0.12443128,-1.0322832
126,-0.06916382,-1.034082
127,-0.29345486,-1.0205418
128,-0.5322619,-0.9872048
129,-0.7503221,-0.9302709
130,-1.0013168,-0.8525258
131,-1.2590327,-0.7520386
132,-1.5224408,-0.61686456
133,-1.7501495,-0.44763297
134,-1.9772891,-0.25328457
135,-2.175824,-0.032943077
136,-2.3121736,0.20169798
137,-2.36181,0.45841503
138,-2.2912905,0.71166736
139,-1.8140849,0.93975425
140,-1.0511948,1.1483607
141,-0.3925512,1.3264372
142,0.090199135,1.4655082
143,0.50222135,1.5745039
144,0.870817,1.6275971
145,1.1811882,1.6592425
146,1.3865144,1.6692531
147,1.4469851,1.6460912
148,1.4520926,1.6111736
149,1.3884255,1.5370481
150,1.2713603,1.4754211
151,1.1128857,1.372221
152,1.0124842,1.2649231
153,0.85578376,1.147365
154,0.7054153,1.0302014
155,0.5452783,0.89686376
156,0.37327188,0.7588008
157,0.18937814,0.61989146
158,1.20183295e-05,0.47569063
159,-0.21340866,0.3393887
160,-0.45655328,0.1995819
161,-0.65568167,0.06100507
162,-0.89140654,-0.07383136
163,-1.1222608,-0.19765848
164,-1.3567178,-0.35398346
165,-1.5903797,-0.41950458
166,-1.8026305,-0.51579595
167,-2.0047069,-0.5990771
168,-2.1609073,-0.6624319
169,-2.258631,-0.71995676
170,-2.2601478,-0.760832
171,-2.054698,-0.78983945
172,-1.4682449,-0.8075203
173,-0.7117379,-0.82198054
174,-0.08910136,-0.8481368
175,0.3781019,-0.83563083
176,0.8042668,-0.8514199
177,1.1539798,-0.87162733
178,1.459468,-0.90861523
179,1.6375587,-0.9468745
180,1.6961944,-0.9755763
181,1.6787002,-1.0241938
182,1.5802324,-1.0843235
183,1.496713,-1.1374204
184,1.3663511,-1.194216
185,1.2189915,-1.2559288
186,1.0686309,-1.3222368
187,0.9038275,-1.3859329
188,0.7304935,-1.4395885
189,0.55268484,-1.5123452
190,0.3365026,-1.5268031
191,0.15581468,-1.5561012
192,-0.07216452,-1.5649368
193,-0.29983696,-1.559704
194,-0.5355827,-1.4922359
195,-0.8319893,-1.3929831
196,-1.037304,-1.2591503
197,-1.2717606,-1.0698539
198,-1.5169684,-0.8320663
199,-1.7297131,-0.5445453
200,-1.9164214,-0.2126049
201,-2.070895,0.13580422
202,-2.1230824,0.48641926
203,-2.0572333,0.824933
204,-1.74166,1.1355004
205,-1.0843027,1.4217081
206,-0.3600372,1.6437975
207,0.19809215,1.8272922
208,0.6339088,1.964138
209,1.0240793,2.0463276
210,1.3507786,2.0757542
211,1.5735021,2.1157937
212,1.6587148,2.0984073
213,1.6690677,2.0787137
214,1.6003475,2.0215285
215,1.4939545,1.939941
216,1.3624214,1.8591423
217,1.2133738,1.752667
218,1.063268,1.6322137
219,0.8936123,1.4926468
220,0.7268875,1.3584391
221,0.53273505,1.2146057
222,0.36126536,1.0597104
223,0.17152767,0.9076624
224,-0.027780266,0.74973446
225,-0.24177149,0.59446937
226,-0.4709305,0.4386178
227,-0.6958871,0.28330988
228,-0.91932875,0.12682542
229,-1.1605744,-0.013845233
230,-1.3836745,-0.16891386
231,-1.5984929,-0.2858942
232,-1.7943115,-0.4005205
233,-1.9925917,-0.5513329
234,-2.0945914,-0.6058126
235,-2.189102,-0.68139964
236,-2.068813,-0.7537
237,-1.7032727,-0.8114713
238,-0.99538016,-0.8734961
239,-0.2538625,-0.91057724
240,0.28466934,-0.9542166
241,0.7292496,-0.99084646
242,1.1244242,-1.0466145
243,1.4588236,-1.0988163
244,1.7006918,-1.1455592
245,1.8140714,-1.2074988
246,1.8226695,-1.2663218
247,1.7698689,-1.3330985
248,1.6706147,-1.4025422
249,1.5420358,-1.4738104
250,1.3956227,-1.5429007
251,1.2381057,-1.6071751
252,1.0762906,-1.6744684
253,0.8982342,-1.7348567
254,0.7197986,-1.7794453
255,0.53000104,-1.8059624
256,0.32437855,-1.8175468
257,0.100938715,-1.8006566
258,-0.121191695,-1.747238
259,-0.3754206,-1.6516545
260,-0.5970379,-1.4931419
261,-0.837168,-1.2861484
262,-1.0831908,-1.0154127
263,-1.3432363,-0.68369997
264,-1.5364327,-0.31293365
265,-1.7407246,0.105991736
266,-1.8993615,0.5136507
267,-1.9946842,0.8949697
268,-1.9957552,1.2251904
269,-1.8419466,1.5256484
270,-1.3558757,1.7794094
271,-0.5422009,1.9891131
272,0.08539681,2.1524692
273,0.5595306,2.2702732
274,0.9629748,2.33665
275,1.3271482,2.3903005
276,1.6025786,2.4045794
277,1.7461812,2.3864312
278,1.770006,2.346539
279,1.717719,2.284124
280,1.6376581,2.2110317
281,1.4951409,2.0996509
282,1.3683513,1.9887598
283,1.2082765,1.8640832
284,1.0428312,1.7201457
285,0.8693198,1.5736878
286,0.69748795,1.414831
287,0.5066331,1.2353317
288,0.31141382,1.0712526
289,0.1164694,0.90596116
290,-0.096710145,0.72952896
291,-0.32886907,0.5416419
292,-0.53762,0.35802603
293,-0.76138055,0.21984112
294,-0.9933294,0.04071819
295,-1.2213296,-0.118846916
296,-1.4443574,-0.26614612
297,-1.6475954,-0.4141934
298,-1.8271542,-0.56045395
299,-1.9748083,-0.68785113
300,-2.0586154,-0.79738164
301,-2.0560458,-0.90202004
302,-1.8729006,-0.9988266
303,-1.2654158,-1.0762182
304,-0.43545312,-1.1503358
305,0.16494292,-1.2267612
306,0.62762225,-1.2881881
307,1.0406532,-1.3492377
308,1.4123749,-1.4157902
309,1.7037172,-1.480147
310,1.8699485,-1.5466319
311,1.9117819,-1.6181201
312,1.8882533,-1.6906289
313,1.8119988,-1.7479546
314,1.69411,-1.8116926
315,1.5493513,-1.8754468
316,1.399156,-1.9287446
317,1.2356558,-1.9829158
318,1.05928,-2.0245805
319,0.8713169,-2.0653782
320,0.69039273,-2.0572577
321,0.48549816,-2.0276797
322,0.27162167,-1.9582855
323,0.045496043,-1.8514171
324,-0.17816983,-1.691128
325,-0.42489663,-1.4594667
326,-0.6715957,-1.166977
327,-0.9209219,-0.8172239
328,-1.1716616,-0.38334447
329,-1.3966185,0.14611273
330,-1.6067176,0.8120738
331,-1.7845465,1.4977084
332,-1.9122427,2.0780535
333,-1.9516125,2.5401213
334,-1.8634399,2.7885418
335,-1.5358813,2.861321
336,-0.77085507,2.8096812
337,-0.053195607,2.753859
338,0.46113577,2.6511521
339,0.8843406,2.5136437
340,1.2405111,2.3836827
341,1.5744194,2.2419736
342,1.7650163,2.0829835
343,1.8163283,1.9164028
344,1.8071512,1.7506043
345,1.7303662,1.5839238
346,1.6166441,1.3906229
347,1.4709435,1.2079239
348,1.316163,1.0307729
349,1.1566875,0.83629227
350,0.98984224,0.62932783
351,0.807647,0.44230926
352,0.6250423,0.23726515
353,0.43238813,0.02785562
354,0.24361642,-0.18628284
355,0.0111830225,-0.38517162
356,-0.19084021,-0.58697826
357,-0.40916082,-0.77979124
358,-0.6350957,-0.97908556
359,-0.8573686,-1.1674771
360,-1.0849565,-1.3441846
361,-1.2991099,-1.5183632
362,-1.514491,-1.6726006
363,-1.7087874,-1.8126258
364,-1.8731674,-1.9279889
365,-1.994164,-2.0211122
366,-2.0422115,-2.0622761
367,-1.9656123,-2.0555835
368,-1.6134154,-1.978295
369,-0.815493,-1.8112749
370,-0.091027856,-1.5952711
371,0.4256222,-1.3243914
372,0.8494794,-1.0671407
373,1.2301859,-0.8379751
374,1.5735964,-0.6420373
375,1.8048929,-0.47092697
376,1.8938655,-0.3352963
377,1.890586,-0.22848187
378,1.8310273,-0.15067686
379,1.7140521,-0.094731346
380,1.5789756,-0.05619135
381,1.4255424,-0.02444489
382,1.2718326,0.009588383
383,1.1043273,0.04954862
384,0.8835033,0.0479864
385,0.7436553,0.13826755
386,0.53999,0.19789012
387,0.33829623,0.27460358
388,0.123211004,0.3492876
389,-0.11042264,0.43682244
390,-0.34223682,0.5432372
391,-0.6086787,0.66376555
392,-0.8302708,0.7583087
393,-1.0713736,0.883013
394,-1.3064047,0.9997893
395,-1.5247366,1.1139567
396,-1.7156615,1.212956
397,-1.8705013,1.3002843
398,-1.9649582,1.3631963
399,-1.9476202,1.4229455
400,-1.8147035,1.4628001
401,-1.161954,1.4748927
402,-0.35235527,1.4526023
403,0.25245082,1.446978
404,0.7243987,1.3968991
405,1.1324766,1.3491919
406,1.4849678,1.2677497
407,1.758388,1.1752486
408,1.8995706,1.0688386
409,1.9342183,0.95899916
410,1.8917817,0.8297694
411,1.7826759,0.68478346
412,1.642414,0.5583665
413,1.5128945,0.41316795
414,1.3367099,0.26180205
415,1.1881833,0.10291752
416,1.0177088,-0.04321277
417,0.8219532,-0.19558604
418,0.6325874,-0.3465061
419,0.43945056,-0.48907283
420,0.23042996,-0.6217874
421,0.0020193653,-0.77005434
422,-0.21384697,-0.8659814
423,-0.47447768,-0.96878904
424,-0.69106,-1.0512207
425,-0.9227048,-1.1163324
426,-1.1525893,-1.1638033
427,-1.3786535,-1.1820413
428,-1.5897992,-1.1801214
429,-1.7661151,-1.1769155
430,-1.906623,-1.150464
431,-1.9646794,-1.1036458
432,-1.8992864,-1.0640556
433,-1.6368426,-0.997651
434,-0.8806605,-0.9379217
435,-0.1161752,-0.88463014
436,0.33678916,-0.8303256
437,0.8589515,-0.7987947
438,1.2494473,-0.76654756
439,1.5806254,-0.75080186
440,1.8305694,-0.73339957
441,1.936808,-0.7185834
442,1.9296148,-0.7199792
443,1.8775382,-0.74473464
444,1.7782866,-0.7390501
445,1.6378716,-0.76457804
446,1.4964328,-0.7855408
447,1.3158491,-0.8083862
448,1.1633307,-0.8308533
449,0.9723835,-0.8553692
450,0.79120934,-0.8588268
451,0.60411507,-0.8655261
452,0.40335104,-0.8440654
453,0.17973138,-0.81300354
454,-0.046781585,-0.75946677
455,-0.2775061,-0.68338406
456,-0.50797206,-0.5879127
457,-0.7524868,-0.4636394
458,-0.9908845,-0.29943883
459,-1.2275019,-0.116585836
460,-1.4483472,0.08779477
461,-1.6533271,0.30930933
462,-1.816208,0.5303754
463,-1.9291593,0.74698347
464,-1.9553598,0.95254266
465,-1.848194,1.127589
466,-1.4443456,1.2975352
467,-0.64222056,1.4310123
468,0.045212895,1.5329478
469,0.5488285,1.6031277
470,0.9742585,1.6346644
471,1.3476928,1.6437447
472,1.6587353,1.6333231
473,1.8460199,1.5812304
474,1.9038607,1.5440872
475,1.8892378,1.4600601
476,1.8036122,1.374334
477,1.6802433,1.2678258
478,1.5346816,1.1580842
479,1.3805363,1.0397879
480,1.1978585,0.91129845
481,1.039138,0.77264845
482,0.85884005,0.63355076
483,0.67198414,0.4973704
484,0.48499313,0.34484446
485,0.27401242,0.18724321
486,0.07037692,0.05288796
487,-0.1508007,-0.075792514
488,-0.37711293,-0.21677497
489,-0.64704335,-0.33511642
490,-0.8546952,-0.45062506
491,-1.0721978,-0.5546306
492,-1.3037302,-0.6565582
493,-1.5114882,-0.7177794
494,-1.7079531,-0.77410203
495,-1.8576676,-0.81526
496,-1.9669998,-0.8396219
497,-1.9780048,-0.8504206
498,-1.8315424,-0.84423816
499,-1.3547585,-0.83387655
500,-0.54969674,-0.80712825
501,0.11909402,-0.7843998
502,0.61001396,-0.76773906
503,1.0137165,-0.76501906
504,1.3991004,-0.77835053
505,1.7000746,-0.7789883
506,1.8951008,-0.78784806
507,1.9443116,-0.8206192
508,1.935509,-0.84543115
509,1.8516756,-0.8827853
510,1.7448665,-0.92701393
511,1.5997083,-0.9775621
512,1.4543169,-1.0372938
513,1.2917147,-1.0868955
