t,el1,el2
0,-7.2269926,-5.90416
1,-7.285322,-5.946945
2,-7.368603,-6.010339
3,-7.4378,-6.064316
4,-7.523277,-6.12545
5,-7.627883,-6.1927185
6,-7.6833725,-6.253366
7,-7.7737885,-6.3144326
8,-7.850712,-6.3723993
9,-7.9361825,-6.431019
10,-8.012485,-6.487732
11,-8.101853,-6.549812
12,-8.180693,-6.6058283
13,-8.26584,-6.6667285
14,-8.340388,-6.722012
15,-8.416496,-6.773967
16,-7.5899534,-5.986572
17,-6.303462,-4.8634243
18,-5.377825,-4.0143847
19,-4.38365,-3.1987956
20,-3.8628454,-3.0630434
21,-3.9109871,-3.148069
22,-4.095579,-3.3105934
23,-4.3028555,-3.4706752
24,-4.5160203,-3.634493
25,-4.7159457,-3.780549
26,-4.8846498,-3.915918
27,-5.018588,-4.0080543
28,-5.0801296,-4.0483375
29,-4.999202,-3.9650083
30,-3.9201698,-3.098528
31,-1.476963,-0.9064069
32,0.24066208,0.54234165
33,0.7964211,0.83264166
34,0.86751556,0.92562246
35,0.85457677,0.91550034
36,0.79560363,0.8690975
37,0.71847296,0.80704623
38,0.6334938,0.7194571
39,0.53574216,0.6528259
40,0.44257978,0.5593354
41,0.332741,0.476614
42,0.20928715,0.3848717
43,0.1011572,0.28138596
44,-0.02767835,0.1725231
45,-0.17734298,0.05866226
46,-0.3419132,-0.07354822
47,-0.5278067,-0.22682486
48,-0.74898523,-0.40365842
49,-1.002692,-0.6292697
50,-1.2995926,-0.82515234
51,-1.6389315,-1.1052732
52,-2.0078259,-1.399547
53,-2.3779767,-1.7133399
54,-2.752965,-2.047187
55,-3.1040301,-2.3564754
56,-3.402274,-2.6536689
57,-3.5869129,-2.8816793
58,-3.617573,-2.9992316
59,-3.3718607,-2.9695768
60,-2.665794,-2.673246
61,-1.1692076,-1.8539159
62,0.9057506,-0.2760167
63,2.2690475,1.2285594
64,2.6954648,1.745489
65,2.7442024,1.8478153
66,2.8124533,1.8669502
67,2.7705052,1.8406432
68,2.7085602,1.7893276
69,2.6346471,1.7250744
70,2.5276716,1.652098
71,2.4272642,1.5646027
72,2.3117614,1.4861628
73,2.1803412,1.3927858
74,2.0622468,1.3142439
75,1.9197048,1.2068648
76,1.7915608,1.0750102
77,1.6371167,0.9820876
78,1.4752849,0.85880554
79,1.2976367,0.73252153
80,1.0856827,0.5869255
81,0.8924219,0.4224694
82,0.65683025,0.24355774
83,0.39884123,0.049613014
84,0.11195372,-0.15632191
85,-0.19140731,-0.39018404
86,-0.5189528,-0.6187944
87,-0.8363826,-0.8573286
88,-1.1789397,-1.1253994
89,-1.515651,-1.3641814
90,-1.8483565,-1.6209887
91,-2.1678813,-1.8607081
92,-2.4759064,-2.0984466
